Date,Open,High,Low,Close,Adj Close,Volume
2018-03-15,45.945999,46.081001,45.945999,46.081001,46.081001,0
2018-03-16,46.146000,46.146000,46.146000,46.146000,46.146000,0
2018-03-19,46.180000,46.180000,46.132000,46.132000,46.132000,0
2018-03-20,45.974998,46.188999,45.974998,46.188999,46.188999,0
2018-03-21,46.157001,46.160000,46.082001,46.160000,46.160000,5689
2018-03-22,46.090000,46.271000,46.090000,46.271000,46.271000,0
2018-03-23,46.327999,46.327999,46.284000,46.284000,46.284000,0
2018-03-26,46.199001,46.199001,46.070000,46.070000,46.070000,0
2018-03-27,46.104000,46.104000,46.104000,46.104000,46.104000,0
2018-03-28,46.180000,46.297001,46.180000,46.297001,46.297001,0
2018-03-29,46.294998,46.415001,46.294998,46.415001,46.415001,0
2018-04-03,46.383999,46.446999,46.327999,46.446999,46.446999,164
2018-04-04,46.443001,46.443001,46.353001,46.353001,46.353001,2140
2018-04-05,46.347000,46.347000,46.306000,46.327999,46.327999,24
2018-04-06,null,null,null,null,null,null
2018-04-09,46.401001,46.401001,46.196999,46.196999,46.196999,0
2018-04-10,46.270000,46.270000,46.146999,46.146999,46.146999,0
2018-04-11,46.145000,46.151001,46.145000,46.151001,46.151001,0
2018-04-12,46.215000,46.215000,46.176998,46.176998,46.176998,0
2018-04-13,46.192001,46.201000,46.192001,46.201000,46.201000,0
2018-04-16,46.173000,46.173000,46.076000,46.076000,46.076000,0
2018-04-17,46.042000,46.192001,46.042000,46.192001,46.192001,0
2018-04-18,46.153000,46.153000,46.070000,46.070000,46.070000,0
2018-04-19,45.988998,45.988998,45.950001,45.950001,45.950001,0
2018-04-20,45.918999,46.058998,45.918999,46.058998,46.058998,0
2018-04-23,45.924999,45.974998,45.924999,45.974998,45.974998,0
2018-04-24,46.057999,46.057999,45.916000,45.916000,45.916000,0
2018-04-25,45.923000,45.987000,45.923000,45.987000,45.987000,0
2018-04-26,46.029999,46.261002,46.029999,46.261002,46.261002,0
2018-04-27,46.373001,46.373001,46.308998,46.308998,46.308998,0
2018-04-30,46.230000,46.404999,46.230000,46.404999,46.404999,0
2018-05-02,46.462002,46.539001,46.462002,46.539001,46.539001,0
2018-05-03,46.533001,46.758999,46.533001,46.758999,46.758999,0
2018-05-04,46.750000,46.750000,46.723000,46.723000,46.723000,0
2018-05-07,null,null,null,null,null,null
2018-05-08,46.780998,46.831001,46.780998,46.831001,46.831001,0
2018-05-09,46.896999,46.896999,46.820000,46.820000,46.820000,0
2018-05-10,46.814999,46.814999,46.729000,46.729000,46.729000,0
2018-05-11,46.678001,46.678001,46.678001,46.678001,46.678001,0
2018-05-14,46.512001,46.512001,46.512001,46.512001,46.512001,0
2018-05-15,46.537998,46.608002,46.537998,46.608002,46.608002,0
2018-05-16,46.680000,46.680000,46.680000,46.680000,46.680000,0
2018-05-17,46.660000,46.737000,46.660000,46.667999,46.667999,209
2018-05-18,46.570000,46.785000,46.570000,46.785000,46.785000,0
2018-05-21,46.823002,46.823002,46.751999,46.751999,46.751999,0
2018-05-22,46.744999,46.744999,46.682999,46.682999,46.682999,0
2018-05-23,46.901001,47.083000,46.901001,47.083000,47.083000,0
2018-05-24,47.098999,47.201000,47.098999,47.201000,47.201000,0
2018-05-25,47.266998,47.430000,47.266998,47.430000,47.430000,0
2018-05-28,47.514000,47.514000,47.514000,47.514000,47.514000,0
2018-05-29,47.688999,47.827000,47.605000,47.827000,47.827000,112
2018-05-30,47.675999,47.675999,47.603001,47.603001,47.603001,0
2018-05-31,null,null,null,null,null,null
2018-06-01,47.582001,47.582001,47.473999,47.473999,47.473999,0
2018-06-04,47.431000,47.431000,47.384998,47.384998,47.384998,0
2018-06-05,47.334999,47.404999,47.334999,47.404999,47.404999,0
2018-06-06,47.113998,47.113998,46.919998,46.919998,46.919998,38
2018-06-07,46.723000,46.723000,46.723000,46.723000,46.723000,0
2018-06-08,46.966000,46.971001,46.966000,46.971001,46.971001,0
2018-06-11,46.806999,46.806999,46.806000,46.806000,46.806000,0
2018-06-12,46.827999,46.827999,46.824001,46.824001,46.824001,0
2018-06-13,46.932999,46.932999,46.907001,46.907001,46.907001,0
2018-06-14,47.368999,47.368999,47.368999,47.368999,47.368999,0
2018-06-15,47.645000,47.645000,47.455002,47.455002,47.455002,2007
2018-06-18,47.493999,47.493999,47.493999,47.493999,47.493999,0
2018-06-19,47.757999,47.757999,47.659000,47.659000,47.659000,0
2018-06-20,47.673000,47.673000,47.601002,47.601002,47.601002,0
2018-06-21,47.623001,47.623001,47.530998,47.530998,47.530998,0
2018-06-22,47.326000,47.467999,47.326000,47.467999,47.467999,0
2018-06-25,47.334999,47.334999,47.334999,47.334999,47.334999,0
2018-06-26,47.327999,47.327999,47.327999,47.327999,47.327999,0
2018-06-27,47.424999,47.618999,47.424999,47.618999,47.618999,0
2018-06-28,47.805000,47.805000,47.658001,47.658001,47.658001,0
